01,Freight
03,Servicios administrativos correspondientes al año 2024
04,Intereses
A1,Toalla Precortada Famimax Natural 6 Rollos
A11,Repuesto Jabón Líquido Para Manos Mini 475 ML
A12,Jabón Rey
A13,Escoba Semizulia Suave Eco. Brilla Hogar
A14,Recogedor Con Pestaña La Negra
A15,Limpión Multiusos Precortado X 3
A17,Resma Carta Earthpact 72 Gr X 500h
A18,Lavaloza Líquido Blancox Limón Y Aloe 850 ML
A19,Papel Higiénico Xtra1 Blanco Hoja Doble 200m X 4 Rollos
A2,Servilleta Cuadrada Mediana Acolchamax X100
A20,Bolsillo Catalogo Carta X100
A21,Trapero Microfibra Antibacterial La Negra Cabo De Madera Fij
A22,Detergente En Polvo Estandar PQP Profesional Floral 10 Kg
A23,Alcohol Antiseptico JGB X 3800ML
A24,Marcador Sharpie Punta Fina Negro
A25,Bisturi Grande
A27,Tijera 7 Pulgadas
A28,Limpiador Desinfectante De Superficies Fresh PQP Profesional
A3,Bomba Destaquear ECO
A32,Blanqueador Desinfectante Blancox Poder Natural 20 L
A33,Boligrafo Kilometrico 100 Tapa 0
A34,Trapero Económico Pabilo De Algodón Bicolor La Negra Cabo
A35,Bolsa Para Basura Roja 45 X 45 Calibre 0
A36,Bolsa Para Basura Roja 55 X 55 Calibre 0
A37,Repuesto de bisturín
A38,Bolsa Para Basura Negra 46 X 46 Calibre 0
A39,Bolsa Para Basura Negra 90 X 115 Calibre 0
A4,Aromatica Hindu Surtidas X20
A40,Esponja Multiusos Colores Brio x 1
A41,Limpiavidrios 123 500ml
A42,Jabón Cremoso Para Manos Y Cuerpo PQP Profesional 4 L
A43,Regla 30 Cms Economica
A44,Cinta de Enmascarar Cintandina 12mm X 20m
A45,Paño de Microfibra
A46,Sal Refisal Alta Pureza Salero
A47,Bolsa Para Basura Blanca 90 x 115 Calibre 1
A48,Limpia Pisos Lavanda PQP Profesional 20 L
A49,Guante Industrial Calibre 35 Negro M
A5,Azucar Riopaila Stikpack X 200
A50,MEZCLADORES EN MADERA
A51,Pegastic Barra 40Gr
A52,Marcador Sharpie Tank P. Gruesa Negro
A53,Marcador borrable pelikan 426 rojo
A54,Marcador borrable pelikan 426 negro
